Titulo,Fecha,Referencia,Enlace
El dólar que desaparece,The disappearing dollar. How long can it remain the world's most important reserve currency? Dec 2nd 2004 |. Share. THE dollar has been the leading,,https://www.economist.com/leaders/2004/12/02/the-disappearing-dollar
¿Puede la eliminación de carbono convertirse en un negocio de billones de dólares?,"May 21, 2023","¿Puede la eliminación de carbono convertirse en un negocio de billones de dólares?Posiblemente, y no antes del tiempo.Pala durante una ceremonia de inauguración en el ...",https://www.economist.com/business/2023/05/21/can-carbon-removal-become-a-trillion-dollar-business
¿Podrían los sistemas de pagos digitales ayudar a desbastar el dólar?,"May 15, 2023",¿Podría la financiación digital reducir la dependencia del mundo del dólar?|Reporte especial.,https://www.economist.com/special-report/2023/05/15/could-digital-payments-systems-help-unseat-the-dollar
"El poderoso dólar: la moneda de Estados Unidos, el problema del mundo |3 de diciembre ...","Dec 3, 2016","The Mighty Dollar: America's Moneda, el problema del mundo: edición semanal de The Economist para el 3 de diciembre de 2016. Has visto las noticias, ...",https://www.economist.com/weeklyedition/2016-12-03
"La mano de obra en la prisión es una industria de miles de millones de dólares, con rendimientos inciertos para ...","Mar 16, 2017","La mano de obra en prisión es una industria de miles de millones de dólares, con rendimientos inciertos para los reclusos.En Idaho, los prisioneros asaron papas.En Kentucky, venden ...",https://www.economist.com/united-states/2017/03/16/prison-labour-is-a-billion-dollar-industry-with-uncertain-returns-for-inmates
El poder y los límites del dólar americano,"Apr 27, 2023","De vez en cuando, un apetito surge una moneda de reserva alternativa al dólar, y un mercado aumenta en las predicciones de los greenback ...",https://www.economist.com/leaders/2023/04/27/the-power-and-the-limits-of-the-american-dollar
La paridad Dollar-Euro puede estar justificada.Pero el yen parece barato como chips,"Jul 21, 2022",Los tipos de cambio para los dólares de los EE. UU. Y las monedas Euro ... pero comprar estadounidense significa ponerse una apuesta en el tipo de cambio euro-dólar.,https://www.economist.com/finance-and-economics/2022/07/21/dollar-euro-parity-may-be-justified-but-the-yen-looks-cheap-as-chips
El uso agresivo de las sanciones en Estados Unidos pone en peligro el reinado del dólar,"Jan 18, 2020","El dólar es la moneda preferida de los bancos centrales y los mercados de capitales, que representa cerca de dos tercios de la emisión de valores globales y ...",https://www.economist.com/briefing/2020/01/18/americas-aggressive-use-of-sanctions-endangers-the-dollars-reign
El dólar azul,"Jun 2, 2012","En realidad, la razón es que el gobierno de Cristina Fernández de Kirchner está comenzando a quedarse sin dólares.Dado que la tasa de inflación es ...",https://www.economist.com/the-americas/2012/06/02/the-blue-dollar
"La historia detrás de ""ballena mil millones de dólares""","Sep 19, 2019","""Billion Dollar Whale"" se centra en el papel de Jho Low (en la foto), un playboy de Malasia con cara de bebé que alegan los fiscales estadounidenses que era el ...",https://www.economist.com/books-and-arts/2019/09/19/the-story-behind-billion-dollar-whale
Niños de billones de dólares,Trillion-dollar kids. Children exert a surprising influence over the purchase of grown-up goods. Nov 30th 2006 | new york.,"""Billion Dollar Whale"" se centra en el papel de Jho Low (en la foto), un playboy de Malasia con cara de bebé que alegan los fiscales estadounidenses que era el ...",https://www.economist.com/business/2006/11/30/trillion-dollar-kids
El dólar desaparecido |4 de diciembre de 2004 |El economista,"Dec 4, 2004","The desapareciendo dólar - edición semanal de The Economist para el 4 de diciembre de 2004. Has visto las noticias, ahora descubre la historia.",https://www.economist.com/weeklyedition/2004-12-04
El dominio del dólar es tan seguro como el liderazgo global estadounidense,"Aug 6, 2020",Ha sido un verano feo para Estados Unidos y el dólar.El Greenback cayó en más del 4% contra una canasta de otras monedas importantes en julio ...,https://www.economist.com/finance-and-economics/2020/08/06/dollar-dominance-is-as-secure-as-american-global-leadership
"Un dólar, un voto","May 22, 2014","Un dólar, un voto.Cuando se trata de establecer la política, las opiniones de las empresas y los ricos parecen contar por más.22 de mayo de 2014.",https://www.economist.com/finance-and-economics/2014/05/22/one-dollar-one-vote
Nuestro índice Big Mac de monedas globales refleja la fortaleza del dólar,"Jan 14, 2017",Las monedas del mercado emergente y el euro se parecen infravalorados frente al dólar |Finanzas y economía.,https://www.economist.com/finance-and-economics/2017/01/14/our-big-mac-index-of-global-currencies-reflects-the-dollars-strength
La apuesta de billones de dólares de Nvidia,"Jun 8, 2023","La apuesta de billones de dólares de Nvidia · Nuestro podcast en los mercados, la economía y el negocio.Esta semana, cómo el fabricante de chips se estableció como el proveedor ...",https://www.economist.com/podcasts/2023/06/08/nvidias-trillion-dollar-bet
El dólar podría traer a los inversores una desagradable sorpresa,"Jan 12, 2023","Nuestra moneda, su problema.Así es como John Connally, secretario del Tesoro de Estados Unidos, describió el dólar a los líderes europeos en 1971.",https://www.economist.com/finance-and-economics/2023/01/12/the-dollar-could-bring-investors-a-nasty-surprise
¿Por qué se ha debilitado el dólar durante la pandemia?,"Feb 4, 2021",Cualquier explicación para la caída del dólar debe comenzar con la Reserva Federal.Cuando la pandemia Covid-19 provocó una lucha por dólares en marzo pasado ...,https://www.economist.com/the-economist-explains/2021/02/04/why-has-the-dollar-weakened-during-the-pandemic
El dólar es tan fuerte como siempre.¿No es así?,"Sep 8, 2022",La moneda más importante del mundo está en racha.El dólar ha subido alrededor del 20% durante el año pasado contra una canasta de Global ...,https://www.economist.com/leaders/2022/09/08/the-dollar-is-as-strong-as-ever-isnt-it
La desaparición del dólar,"Nov 23, 2004","Aunque cargar con aún más dólares podría evitar que el dólar caiga por un tiempo, aumentaría el riesgo de aún más grande ...",https://www.economist.com/news/2004/11/23/the-dollars-demise
Bolivia está al borde de una crisis económica,"Apr 18, 2023",La escasez de dólares es en parte el resultado de mercados financieros globales más estrictos.Cuando la Reserva Federal comenzó a aumentar las tasas de interés el año pasado ...,https://www.economist.com/the-americas/2023/04/18/bolivia-is-on-the-brink-of-an-economic-crisis
¿El dominio del dólar dará paso a un sistema multipolar de monedas?,"Apr 2, 2022","La ironía es que el deseo de mantener dólares fuera de Estados Unidos solo reforzó el peso del Backback.A partir de septiembre, los bancos con sede fuera del ...",https://www.economist.com/finance-and-economics/2022/04/02/will-dollar-dominance-give-way-to-a-multipolar-system-of-currencies
Cuba reintroduce el dólar,"Nov 28, 2019","En octubre, el gobierno comunista de Cuba dijo que los ciudadanos podrían abrir cuentas bancarias que reciben dólares, yenes, euros y otras monedas europeas.",https://www.economist.com/the-americas/2019/11/28/cuba-reintroduces-the-dollar
Lo que dice el índice Big Mac sobre el dólar y el dong,"Jul 23, 2021","En Vietnam, por ejemplo, la hamburguesa cuesta 69,000 dong.Aunque eso suena como un lote horrible, puedes obtener mucho dong por tu dólar y ...",https://www.economist.com/finance-and-economics/2021/07/23/what-the-big-mac-index-says-about-the-dollar-and-the-dong
Reserve Core: sobre finanzas digitales y dominio en dólares,"May 25, 2023","Nuestro podcast en los mercados, la economía y el negocio.Esta semana, observamos las afirmaciones de que los pagos y monedas digitales podrían destronar el dólar.",https://www.economist.com/podcasts/2023/05/25/reserve-core-on-digital-finance-and-dollar-dominance
El destino del dólar dará forma a los mercados financieros en 2019,"Jan 10, 2019","El caso Bear para el dólar se basa en la expectativa de que el crecimiento del PIB en Estados Unidos se ralentizará notablemente.El año pasado, fue impulsado por recortes de impuestos.",https://www.economist.com/finance-and-economics/2019/01/10/the-fate-of-the-dollar-will-shape-financial-markets-in-2019
Donald Trump y el estándar de dólar,"Feb 9, 2017",Los activos denominados en dólares representan gran parte de esas reservas.Los gobiernos se preocupan más por grandes columpios en dólar que en otras monedas;...,https://www.economist.com/finance-and-economics/2017/02/09/donald-trump-and-the-dollar-standard
Cómo el estímulo exitoso de Estados Unidos afecta al dólar,"Mar 13, 2021","No es suficiente para un dólar fuerte que a Estados Unidos lo hace bien;Otros también deben estar mal.""Si la economía estadounidense crece increíblemente rápido y ...",https://www.economist.com/finance-and-economics/2021/03/13/how-americas-blockbuster-stimulus-affects-the-dollar
La brecha de billones de dólares,"Mar 22, 2014","La brecha de billones de dólares.Cómo obtener más ahorros del mundo para pagar nuevas carreteras, aeropuertos y electricidad.22 de marzo de 2014.",https://www.economist.com/leaders/2014/03/22/the-trillion-dollar-gap
Perder la fe en el Backback,"Nov 29, 2007",Factor en los dólares acumulados por los exportadores de petróleo de China y del Medio Oriente (no incluidos en el desglose del FMI) y la participación del dólar puede ser más alta ...,https://www.economist.com/briefing/2007/11/29/losing-faith-in-the-greenback
"Los trabajos importan, no el dólar |El economista","Mar 25, 2015","La Fed está debatiendo cómo analizar los datos laborales;En comparación, el dólar fuerte no es un gran problema |Notebook de Buttonwood.",https://www.economist.com/buttonwoods-notebook/2015/03/25/jobs-matter-not-the-dollar
Pobre estándar de dólar,"Aug 13, 2011","Al adoptar el dólar estadounidense como su moneda principal.Estados Unidos puede haber perdido su calificación Triple-A, pero los dólares que problemas ""permanecerán ...",https://www.economist.com/finance-and-economics/2011/08/13/poor-dollar-standard
La fortaleza del dólar es un problema para el mundo,"Dec 3, 2016",Lo que significa la fortaleza reciente del dólar para la economía global |Finanzas y economía.,https://www.economist.com/finance-and-economics/2016/12/03/the-dollars-strength-is-a-problem-for-the-world
Deja caer el dólar,"Feb 5, 2004","Como el euro se ha disparado frente al dólar, los bancos centrales en Japón, China y otros países asiáticos han comprado dólares para mantener el valor de ...",https://www.economist.com/leaders/2004/02/05/let-the-dollar-drop
¿Qué hay detrás de la fuerza del dólar?,"Aug 3, 2022","Nuestro podcast en los mercados, la economía y el negocio.Esta semana, lo que dice un dólar estadounidense fuerte sobre su estado como la moneda de reserva del mundo ...",https://www.economist.com/podcasts/2022/08/03/whats-behind-the-dollars-strength
Bebés de un millón de dólares,"Million-dollar babies. As Silicon Valley fights for talent, universities struggle to hold on to their stars. Apr 2nd 2016 | SAN FRANCISCO.","Nuestro podcast en los mercados, la economía y el negocio.Esta semana, lo que dice un dólar estadounidense fuerte sobre su estado como la moneda de reserva del mundo ...",https://www.economist.com/business/2016/04/02/million-dollar-babies
Por qué la ascendencia del dólar no durará,"Dec 11, 2021",Una moneda que se ha mantenido al día con el dólar es el yuan.Esto se debe a que más dinero fluye hacia China que fuera de ella.Exportaciones de parachoques a ...,https://www.economist.com/finance-and-economics/2021/12/11/why-the-dollars-ascendancy-wont-last
El dólar sigue debilitándose.¿Es esa buena noticia para el mundo?,"Jan 31, 2018","En el reciente Foro Económico Mundial en Davos, Steven Mnuchin, secretario del Tesoro, dijo: “Obviamente, un dólar débil es bueno para nosotros como ...",https://www.economist.com/finance-and-economics/2018/01/31/the-dollar-keeps-weakening-is-that-good-news-for-the-world
El dólar y el déficit,"Sep 12, 2002","Por qué el dólar aún gobierna el mundo, y por qué el mundo debería estar agradecido |Finanzas y economía.",https://www.economist.com/finance-and-economics/2002/09/12/the-dollar-and-the-deficit
Por qué un dólar fortalecedor es malo para la economía mundial,"Dec 3, 2016",El ascenso del Back Green parece algo para dar la bienvenida.Eso es ignorar el papel central que juega el dólar en las finanzas globales |Líderes.,https://www.economist.com/leaders/2016/12/03/why-a-strengthening-dollar-is-bad-for-the-world-economy
El negocio rentable de vender a los Hard-Up,"Jan 25, 2018","Dollar General prospera donde las familias de bajos ingresos luchan ... una cada cuatro millas ”, dice el cajero de Dollar General, una tienda de descuento, ...",https://www.economist.com/united-states/2018/01/25/the-profitable-business-of-selling-to-the-hard-up
El brazo largo del dólar,"May 17, 2018","El dólar también se beneficia de un modelo de centro y radios para el intercambio de monedas, la facturación del comercio y la liquidación de International ...",https://www.economist.com/finance-and-economics/2018/05/17/the-long-arm-of-the-dollar
La búsqueda para encontrar una alternativa al dólar,"Jan 18, 2020",Al menos la mitad de todas las facturas comerciales están en dólares.La mayoría de las transacciones transfronterizas se eliminan en última instancia a través de Nueva York.America ...,https://www.economist.com/leaders/2020/01/18/the-search-to-find-an-alternative-to-the-dollar
El club de billones de dólares,"Apr 15, 2010","El club de billones de dólares.Brasil, Rusia, India y China importan individualmente.Pero ¿tiene sentido tratar a los Brics, o cualquier otro ...",https://www.economist.com/international/2010/04/15/the-trillion-dollar-club
El índice Big Mac muestra que las monedas son muy baratas contra el dólar,"Jan 12, 2019","Según nuestro último lote de datos, casi todas las monedas están infravaloradas frente al dólar.El resultado es que el Back Green en sí ...",https://www.economist.com/graphic-detail/2019/01/12/the-big-mac-index-shows-currencies-are-very-cheap-against-the-dollar
La pregunta de miles de millones de dólares,"The gazillion-dollar question. So what is a media company? Apr 22nd 2006 |. Share. FOR his first few decades in the media industry—at CBS, then Walt Disney,",,https://www.economist.com/special-report/2006/04/22/the-gazillion-dollar-question
Una nueva investigación sugiere que el nivel del dólar impulsa el comercio mundial,"Mar 1, 2018","Pero, ¿qué hay de importadores como el Sr. Sacchal, que compran en dólares?Los investigadores argumentan que aquí, la simetría se descompone.Una calabazas de dólar más fuerte ...",https://www.economist.com/finance-and-economics/2018/03/01/new-research-suggests-the-dollars-level-drives-world-trade
Boo Boo,"Jul 26, 2014","Un billón de dólares.Ese puede ser el costo para los inversores rusos del gobierno de Vladimir Putin.Es el equivalente de aproximadamente $ 7,000 por cada ...",https://www.economist.com/finance-and-economics/2014/07/26/trillion-dollar-boo-boo
El dólar resistente,"The resilient dollar. Why the greenback has so far withstood the panic in financial markets. Oct 2nd 2008 |. Share. IN BRITAIN, where earnestness is a sin",,https://www.economist.com/finance-and-economics/2008/10/02/the-resilient-dollar
El fiasco afgano de billones de dólares de Estados Unidos tipifica su política exterior,"Jul 10, 2021","Pero la Sra. Miller calculó que el esfuerzo estadounidense de billones de dólares estaba en tiempo prestado.""La frase fue lo suficientemente deshonesta como para hacerme hacer una mueca"", recuerda ...",https://www.economist.com/united-states/2021/07/10/americas-trillion-dollar-afghan-fiasco-typifies-its-foreign-policy
Poder de dólar,"Jun 23, 2012",Estados Unidos está usando el dólar para dañar a Irán.¿Funcionará?|Finanzas y economía.,https://www.economist.com/finance-and-economics/2012/06/23/dollar-power
Por qué el dólar es tan fuerte,"Jul 20, 2022","Un punto de partida débil, el aumento de las tasas de interés y el estado de refugio seguro han hecho un gran rally |El economista explica.",https://www.economist.com/the-economist-explains/2022/07/20/why-the-dollar-is-so-strong
Un aumento en el dólar ha sido una señal confiable de pánico global,"Mar 12, 2020","Una preocupación de hoja perenne es la escala de valores de dólar emitidos o celebrados fuera de Estados Unidos.En medio de la crisis financiera de 2007-09, el ...",https://www.economist.com/finance-and-economics/2020/03/12/a-spike-in-the-dollar-has-been-a-reliable-signal-of-global-panic
La dependencia del comercio global de dólares disminuye sus beneficios,"Aug 27, 2020","Y cuando el dólar se fortalece, el comercio global tiende a contratar.Durante décadas, el pensamiento de los economistas sobre el comercio y las monedas se resumió en ...",https://www.economist.com/schools-brief/2020/08/27/global-trades-dependence-on-dollars-lessens-its-benefits
El yuan digital ofrece a China una forma de esquivar el dólar,"Sep 5, 2022","La dependencia de China del dólar ha sido durante mucho tiempo una fuente de frustración en Beijing.No solo consolida la vulnerabilidad de China a las sanciones, ...",https://www.economist.com/finance-and-economics/2022/09/05/the-digital-yuan-offers-china-a-way-to-dodge-the-dollar
Hong Kong defiende su clavija en dólares en ambas direcciones,"Apr 21, 2018","Durante más de 34 años, la autoridad monetaria del territorio, la HKMA, la ha mantenido vinculada a la moneda de Estados Unidos en alrededor de HK $ 7.80 al dólar, ...",https://www.economist.com/finance-and-economics/2018/04/21/hong-kong-defends-its-dollar-peg-in-both-directions
El caso de un dólar que cae,"Nov 14, 2019",Por qué el ascendencia del dólar se ve cansado |Finanzas y economía.,https://www.economist.com/finance-and-economics/2019/11/14/the-case-for-a-falling-dollar
Verde y espalda,"Jul 13, 2013",El dólar está disfrutando de un raro período de fuerza.¿Qué tan lejos puede llegar el rally?|Finanzas y economía.,https://www.economist.com/finance-and-economics/2013/07/13/green-and-back
Lejos del dólar,"Jul 27, 2009",Bloomberg informa esta mañana que el dólar está en su nivel más bajo del año frente a las monedas de seis principales socios comerciales y ...,https://www.economist.com/free-exchange/2009/07/27/away-from-the-dollar
La relación de los gerentes de reserva con el dólar no es saludable,"Apr 11, 2019",Las últimas cifras del FMI muestran que la proporción de dólares en las reservas globales cayó al 62% a fines del año pasado.Los gerentes de reserva parecen ...,https://www.economist.com/finance-and-economics/2019/04/11/reserve-managers-relationship-with-the-dollar-is-unhealthy
Los éxitos de las líneas de intercambio en dólares de la Fed,"Jun 18, 2020","Pero la oferta de dólares se extiende mucho más allá de las fronteras nacionales.El año pasado, los bancos fuera de la jurisdicción de Estados Unidos tenían pasivos en dólares que valían ...",https://www.economist.com/finance-and-economics/2020/06/18/the-successes-of-the-feds-dollar-swap-lines
Por qué los activos de dólar todavía están en alto después de las elecciones de Estados Unidos,"Nov 5, 2020",La resistencia del dólar ha sido uno de los motivos más monótonos en los mercados financieros en los últimos años.La fortaleza del dólar se gira con otro ...,https://www.economist.com/finance-and-economics/2020/11/05/why-dollar-assets-are-still-riding-high-after-americas-election
La solución de monedas de billones de dólares,The trillion-dollar coin solution. Here's one way to get around the debt ceiling. Jul 29th 2011. Share. By R.A. | WASHINGTON. AS THE date on which Treasury,,https://www.economist.com/free-exchange/2011/07/29/the-trillion-dollar-coin-solution
El pánico sobre el dólar |1 de diciembre de 2007 |El economista,"Dec 1, 2007","The Panic About The Dollar - Edición semanal de The Economist para el 1 de diciembre de 2007. Has visto las noticias, ahora descubre la historia.",https://www.economist.com/weeklyedition/2007-12-01-0
Dominio en dólares no en el interés de Estados Unidos |El economista,"Oct 14, 2009","En la década de 1960, Robert Triffin, un economista belga-estadounidense, argumentó que un sistema monetario global basado en el dólar tenía un defecto: el aumento ...",https://www.economist.com/free-exchange/2009/10/14/dollar-dominance-not-in-americas-interest
El pánico sobre el dólar,"Nov 29, 2007",Una crisis en dólares en toda regla además de un crujido de crédito y una economía debilitante sería aterradora.Enviaría los mercados financieros tambaleándose ...,https://www.economist.com/leaders/2007/11/29/the-panic-about-the-dollar
Un dólar al día,"Sep 16, 2013","En 1991, David Dollar y Aart Kraay, ambos del Banco Mundial, publicaron un artículo influyente, ""El crecimiento es bueno para los pobres"".",https://www.economist.com/feast-and-famine/2013/09/16/a-dollar-a-day
Por qué el dólar es fuerte y por qué es un problema,"Sep 8, 2022","En resumen, el dólar es la moneda de referencia en gran parte porque Estados Unidos ha demostrado ser una fuente confiable de crecimiento económico.Eso es particularmente cierto ...",https://www.economist.com/finance-and-economics/2022/09/08/why-the-dollar-is-strong-and-why-that-is-a-problem
¿Puedes ahorrar un dólar?,Can you spare a dollar? How to make a hard-currency shortage worse. Mar 17th 2016 | ABUJA. Share. THE mutterings of discontent are growing louder in,,https://www.economist.com/middle-east-and-africa/2016/03/17/can-you-spare-a-dollar
Abajo con el dólar,"Oct 20, 2009","Shutterstock.El 5 de marzo, un índice del valor del dólar estadounidense contra otras seis monedas grandes tocó 89.11, su punto más alto ...",https://www.economist.com/finance-and-economics/2009/10/20/down-with-the-dollar
"El dólar tiene una gran demanda, propensa a una apreciación peligrosa","Mar 21, 2020","Combinado con las compras de dólares de la Fed, los swaps ayudaron a proteger a los nerviosos bancos centrales extranjeros de los peligros de una devaluación en dólares.",https://www.economist.com/finance-and-economics/2020/03/21/the-dollar-is-in-high-demand-prone-to-dangerous-appreciation
"Alto dólar, alto dolor","High dollar, high dolour. Inundated by a surfeit of wine. May 28th 2011 |. Share. FOR YEARS AUSTRALIA'S wine producers had drought to contend with.","Combinado con las compras de dólares de la Fed, los swaps ayudaron a proteger a los nerviosos bancos centrales extranjeros de los peligros de una devaluación en dólares.",https://www.economist.com/special-report/2011/05/28/high-dollar-high-dolour
"Volver al dólar, billetes de dólar","Jun 29, 2011","Niall Ferguson, un historiador británico, incluso sugirió, sin risas, que el euro podría desplazar el dólar como la moneda de reserva del mundo.En ...",https://www.economist.com/prospero/2011/06/29/back-to-dollar-dollar-bills
Sentirse verde,"Mar 19, 2015",Los mercados emergentes endeudados se dirigen a una resaca de dólar desagradable |Finanzas y economía.,https://www.economist.com/finance-and-economics/2015/03/19/feeling-green
En dólares confían,"Apr 27, 2013","En dólares confían.Viernes sucios, queridos crédito, tiendas completas y fábricas vacías.Pequeño cambio, viejo y nuevo.",https://www.economist.com/finance-and-economics/2013/04/27/in-dollars-they-trust
"""¿Solo el mal?""","Apr 27, 2013",Los estudiantes atletas no remunerados están en el corazón de una industria multimillonaria |Estados Unidos.,https://www.economist.com/united-states/2013/04/27/fair-or-foul
Mastín de millones de dólares,"Dec 12, 2015",Mastrosfifes de millones de dólares.La represión de Xi Jinping contra la corrupción es golpear a los chinos a los zorros de lujo más duro que los extranjeros.,https://www.economist.com/china/2015/12/12/million-dollar-mastiffs
Estados Unidos debería resistir la tentación de debilitar el dólar,"Jul 25, 2019","Ha dejado sugerencias de que es un juego que Estados Unidos también debería jugar.Si eso perjudica a los titulares de dólares extranjeros, que así sea.Escuche esta historia ...",https://www.economist.com/leaders/2019/07/25/america-should-resist-the-temptation-to-weaken-the-dollar
Bebé billón de dólares,Trillion-dollar baby. Investors pay too much to have their money managed. Feb 28th 2008 |. Share. LOOKING after other people's money is a fine business.,"Ha dejado sugerencias de que es un juego que Estados Unidos también debería jugar.Si eso perjudica a los titulares de dólares extranjeros, que así sea.Escuche esta historia ...",https://www.economist.com/leaders/2008/02/28/trillion-dollar-baby
Los bancos de Estados Unidos faltan cientos de miles de millones de dólares,"Mar 21, 2023","Durante el año pasado, los de los bancos comerciales se han hundido en medio billón de dólares, una caída de casi el 3%.Esto hace que el sistema financiero sea más ...",https://www.economist.com/finance-and-economics/2023/03/21/americas-banks-are-missing-hundreds-of-billions-of-dollars
