Precio,Lugar,Enlace
"USD750,000","Los Rosales, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-d7f6-3fe40920d3be-e9c394a9-8bef-4b13
"USD560,000","Ur. Casuarinas Sur, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-5348-5f529e01db4d-e946fa75-a559-43e8
"USD630,000","La Encantada De Villa, Provincia de Lima, Gobierno Regional de Lima",https://www.properati.com.pe/detalle/14032-32-3637-534a8607857f-e1a2f61b-8dc1-4618
"USD320,000","A.h General Jose de San Martin, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-c653-9f73ed1f4354-c0829117-a5c7-4ee1
"USD640,000","Ur. Jacaranda, San Borja, Lima",https://www.properati.com.pe/detalle/14032-32-84a8-44ce0143a76-ae76846c-97f1-4170
"USD512,000","Ur. Aurora, Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-a476-2760419c7547-9b004e79-b2cc-4829
"USD149,000","Nuevo Chimbote, Santa, Ancash",https://www.properati.com.pe/detalle/14032-32-3a85-1e3ffe3b76e0-89bfbb65-afd5-4f8c
"USD365,000","Ur. Santa Patricia Etapa I, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-f007-1587436fbe65-891f0b5b-8d37-485e
"S/.415,000","Castilla, Piura",https://www.properati.com.pe/detalle/14032-32-18a2-fb30be3aa841-6f39d440-870a-120e
"USD400,000","Ah. Bocanegra Sector F, Callao",https://www.properati.com.pe/detalle/14032-32-ce5f-66b002acd446-3f216980-92f5-415a
"USD1,300,000","San Isidro, Lima",https://www.properati.com.pe/detalle/14032-32-c858-e714d33b4c94-29b6433f-b268-4727
"USD2,500,000","Ur. Humboldt, Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-2e96-4a06117c3594-263d48ae-976f-4390
"USD1,100,000","Ur. Santa Ines, San Isidro, Lima",https://www.properati.com.pe/detalle/14032-32-60f8-147c0685e41d-24aad2e0-b605-4563
"S/.790,000","Castilla, Piura",https://www.properati.com.pe/detalle/14032-32-7d43-ed83c7cd1d6c-1f1b8b93-9fbb-4e09
"USD400,000","Ur. Juan Xxiii, San Borja, Lima",https://www.properati.com.pe/detalle/14032-32-1de0-a49b0a4a7617-49ab306-a685-4d63
"USD1,750,000","Country Club, Urb Risso, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-bdef-a876d2a7b64a-2b73c23-a997-4302
"USD210,000","Ur. San Miguelito, San Miguel, Lima",https://www.properati.com.pe/detalle/14032-32-f42a-f4904ff4422-fe8aa36c-8f8d-4cec
"USD149,000","Ur. Las Delicias De Villa, Chorrillos, Lima",https://www.properati.com.pe/detalle/14032-32-5cbd-99632ff875cb-f99b05f8-aa3f-43da
"USD363,000","Chaclacayo, Lima",https://www.properati.com.pe/detalle/14032-32-9813-2e1f9a2b1223-f06c527f-8a56-462f
"USD280,000","Huarochirí, Lima",https://www.properati.com.pe/detalle/14032-32-cc32-a106eec6a716-ef9ee19c-9f17-4e18
"USD980,000","La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-1625-2d8e36a03b9e-ed5a7520-9587-120e
"USD165,000","San Martín de Porres, Lima",https://www.properati.com.pe/detalle/14032-32-728a-e1eac6c25ba8-e7a3554b-a169-4bd6
"USD600,000","Ur. Humboldt, Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-e9cf-7866ade8a977-e13278f9-a602-4235
"S/.245,000","Lurin, Lima",https://www.properati.com.pe/detalle/14032-32-40-479e37126484-dbbfc926-8f85-4635
"S/.395,000","Castilla, Piura",https://www.properati.com.pe/detalle/14032-32-a88f-db19117fd35f-db7d134f-8ef3-4ac1
"USD330,000","Ur. Pro Quinto Sector Ii Etapa, Los Olivos, Lima",https://www.properati.com.pe/detalle/14032-32-daaa-a7ed7999e37a-db1fd7ec-bf51-4818
"USD1,600,000","Hu. Cercado De Miraflores, Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-ecdf-27843598cf70-d8da7e90-9520-4a02
"USD3,750,000","Ur. Cerros De Camacho, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-3df9-114eeae511fc-d2a37951-b279-489f
"USD300,000","Ur. La Luz, Lima",https://www.properati.com.pe/detalle/14032-32-a2ba-bd6a63c866c2-d2950c20-a572-120d
"USD400,000","Ur. El Abanico, Chaclacayo, Lima",https://www.properati.com.pe/detalle/14032-32-183c-314700894caf-d09b4fc0-83e0-4542
"USD350,000","Ur. Las Viñas (Las Viñas De La Molina Vieja), La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-4528-9d41a1446f3-ce18a7c0-826a-4262
"USD150,000","Ah. Villa Escudero, Mi Perú, Callao",https://www.properati.com.pe/detalle/14032-32-d3a6-b1263714196e-bc62e3eb-b5b0-4c5d
"USD450,000","Ur. Portada Del Sol Etapa I (A.E.M.G), La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-ccce-19b78ca069a5-b5a8738c-bb08-4ad2
"USD430,500","Ur. Los Halcones, Chaclacayo, Lima",https://www.properati.com.pe/detalle/14032-32-b062-36a8e52acd6b-b4a8c31e-b825-438b
"USD150,000","Ur. Mariscal Andres Avelino Caceres Sector 2, San Juan de Lurigancho, Lima",https://www.properati.com.pe/detalle/14032-32-3f86-c3e5ce34fd05-b2ba8915-bd22-4e22
"USD390,000","Ur. Isla Verde, Pueblo Libre, Lima",https://www.properati.com.pe/detalle/14032-32-802-94a2801d7e66-af2e6220-82ab-4112
"USD529,000","Ur. Valle Hermoso Este, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-3d53-bf9b97b45e3b-a3a11559-b5d0-4ac7
"USD308,000","Ur. Paulo Vi, San Miguel, Lima",https://www.properati.com.pe/detalle/14032-32-99bf-332699eaf1e5-a339a1a7-99da-43eb
"USD217,000","Chaclacayo, Lima",https://www.properati.com.pe/detalle/14032-32-46b2-77e154d0fe30-9fe91c63-9fd6-4742
"USD215,000","Ur. Los Laureles, Chorrillos, Lima",https://www.properati.com.pe/detalle/14032-32-c74f-7c31e56360a8-9018fe8a-9450-45b3
"USD3,200,000","Ur. Santa Teresa, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-fee2-871e3514a0e0-8defa0e1-abb5-4706
"USD250,000","Ur. Aurora, Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-1acc-adbabbab89e2-852e1641-8349-4b6b
"USD570,000","Ur. Jacaranda, San Borja, Lima",https://www.properati.com.pe/detalle/14032-32-1e8f-336f143ff31e-8509da3a-934d-441e
"USD315,000","Ur. Portada Del Sol Etapa Iii (A.E.M.G), La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-cd3b-9b74f4d6e62c-84e7c1c6-96f2-40bd
"USD218,000","Chaclacayo, Lima",https://www.properati.com.pe/detalle/14032-32-93ea-86c18a6ddb9c-8465f386-beee-46dc
"USD850,000","Ur. San Damian, San Isidro, Lima",https://www.properati.com.pe/detalle/14032-32-e135-312eb1a828b0-7c1b2e7f-b1dc-4d0d
"USD981,500",Cusco,https://www.properati.com.pe/detalle/14032-32-202-82a2b3202747-7b032a16-bd57-436b
"USD118,000","Carabayllo, Lima",https://www.properati.com.pe/detalle/14032-32-31be-bb0651ce43a7-74ffed01-84b9-4600
"USD50,000","Co. Victor Andres Belaunde, Puente Piedra, Lima",https://www.properati.com.pe/detalle/14032-32-9a8d-34a2e59a9039-6166eba3-9e3e-4082
"USD345,000","Co. Llanavilla, Villa El Salvador, Lima",https://www.properati.com.pe/detalle/14032-32-8c46-b28be6dd8f97-5d291249-a4e4-4ed8
"USD230,000","Re. Las Torres De San Borja, San Borja, Lima",https://www.properati.com.pe/detalle/14032-32-dcdd-960de19acdbc-54cd83b8-ab0a-47c5
"USD320,000","Ur. Los Proceres, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-20e5-e527c496e223-52695d95-822e-4029
"USD598,000","Ur. Los Pinares, Los Olivos, Lima",https://www.properati.com.pe/detalle/14032-32-48a9-905e3bb511fb-51c0a892-b936-48fc
"USD140,000","Santa María, Huaura, Lima",https://www.properati.com.pe/detalle/14032-32-c888-773c45e5fb82-4b53e9a3-8a21-44a1
"USD299,000","Re. Monterrico Ampliacion, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-15d9-76ebd6bc274a-4a02fc81-ac2d-41fb
"USD315,000","Huacho, Huaura, Lima",https://www.properati.com.pe/detalle/14032-32-73b3-d2e9ce8bb0a4-4003befe-951c-417d
"USD170,000","Co. Guadalupe, Los Olivos, Lima",https://www.properati.com.pe/detalle/14032-32-41b6-9dd737c6255b-39e1a342-ba2a-4499
"S/.498,000","Ah. Moron, Chaclacayo, Lima",https://www.properati.com.pe/detalle/14032-32-4b8d-f2951d223349-3429594d-9548-47d8
"USD1,000,000","Ur. Santa Beatriz, Jesús María, Lima",https://www.properati.com.pe/detalle/14032-32-5aa-817f164b7e94-318e0333-9434-41ea
"USD92,000","Villa El Salvador, Lima",https://www.properati.com.pe/detalle/14032-32-15f8-694c38f09c80-2fd15050-8b6d-120e
"USD329,000","Ur. Rinconada Alta Etapa I, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-deaf-388fb746e4d9-2f78269d-b9c5-48fc
"USD230,000","Ur. La Perla, La Perla, Callao",https://www.properati.com.pe/detalle/14032-32-e924-95d23aa5f7fc-25017058-86c8-4a05
"USD375,000","Ag. Cerro Colorado, Cerro Colorado, Arequipa",https://www.properati.com.pe/detalle/14032-32-38f1-286fd91af5a-1f7de094-b8fa-47a6
"USD650,000","Ur. La Encantada, Chorrillos, Lima",https://www.properati.com.pe/detalle/14032-32-b15e-c022e5021d82-1bbe1c6a-a62b-48d4
"USD730,000","Ur. Los Patricios (San Felipe), Jesús María, Lima",https://www.properati.com.pe/detalle/14032-32-e6b-ff31dd8c0e7-1a61f89d-83c6-4cff
"S/.79,000","Sunampe, Chincha, Ica",https://www.properati.com.pe/detalle/14032-32-163a-233d08a38887-11bd6670-862a-120e
"USD850,000","Re. Monterrico, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-fe15-dbcb4a57b334-1192b495-9f2a-42e2
"USD180,000","Lurigancho, Lima",https://www.properati.com.pe/detalle/14032-32-bf58-d08c9992aed3-10e61eec-925f-4ccc
"USD115,000","Ur. Santa Isabel, Carabayllo, Lima",https://www.properati.com.pe/detalle/14032-32-e37f-d70b9738e258-e4ae8b7-9b40-4d19
"USD164,500","Comas, Lima",https://www.properati.com.pe/detalle/14032-32-6f84-f92b11b86181-df50fd4-a1ba-4a69
"USD350,000","San Miguel, Lima",https://www.properati.com.pe/detalle/14032-32-f20f-6571621e92fe-98987dd-bff1-4b83
"USD750,000","Ur. El Abanico, Chaclacayo, Lima",https://www.properati.com.pe/detalle/14032-32-38ff-61477df05829-97bf9fd-8ab5-4d4d
"USD1,700,000","Ur. El Cortijo Etapa I, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-7f91-4d85e0153f9c-310a8f7-839b-4fd9
"USD77,900","Ah. Bello Horizonte, Huanchaco, Trujillo, La Libertad",https://www.properati.com.pe/detalle/14032-32-130a-c9a48717fabf-fd421e20-9c3d-120e
"USD92,000","Ur. Los Sauces, Ate, Lima",https://www.properati.com.pe/detalle/14032-32-90a1-daf0485ef661-f61b4a5a-9a82-4130
"USD185,000","Ah. El Agustino, El Agustino, Lima",https://www.properati.com.pe/detalle/14032-32-ba6a-d994f83ab49c-eeb4b5a0-b2ce-120d
"USD265,000","Ur. Antares Etapa Iii, San Martín de Porres, Lima",https://www.properati.com.pe/detalle/14032-32-af5d-e1230726541e-ed200b5f-bf9d-46e1
"USD300,000","Ur. El Pinar Sector Parcela G, Comas, Lima",https://www.properati.com.pe/detalle/14032-32-7e4b-9747e837d405-eb61f9a9-9c2d-4889
"USD265,000","Ur. Maranga Etapa Ii, San Miguel, Lima",https://www.properati.com.pe/detalle/14032-32-ed5b-ce2b5d167105-e7aaff33-8e26-4f02
"USD1,280,000","Ur. Ampliacion San Isidro, San Isidro, Lima",https://www.properati.com.pe/detalle/14032-32-4ea4-9f0cf5e88778-e4c540b6-bc66-4441
"USD65,000","Pisco, Ica",https://www.properati.com.pe/detalle/14032-32-bf78-6ee735946865-df393b57-967e-4de2
"USD74,000","Ur. Pedregal Bajo, Lurigancho, Lima",https://www.properati.com.pe/detalle/14032-32-af4f-21b06915ded9-d6ed5b84-bce8-403c
"USD85,000","Ur. Santa Maria I Etapa, Carabayllo, Lima",https://www.properati.com.pe/detalle/14032-32-754f-e26b31ae9a80-d56d9444-8a51-4469
"USD320,000","Ur. Maranga Etapa Iii, San Miguel, Lima",https://www.properati.com.pe/detalle/14032-32-4dfc-ddbeaae0e993-d1ee68ae-842e-4a8f
"USD160,000","Santa Eulalia, Huarochirí, Lima",https://www.properati.com.pe/detalle/14032-32-ee46-2635ae2a30cc-d0b4c7a8-826f-4521
"USD165,000","Chaclacayo, Lima",https://www.properati.com.pe/detalle/14032-32-7f6a-11c62cd08665-cde30b0a-84cf-4ce4
"USD1,950,000","Urb Santa Maria de Chosica, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-8ff4-9671a23af3fd-c18ad058-97f3-4d0e
"S/.285,000","Chiclayo, Lambayeque",https://www.properati.com.pe/detalle/14032-32-3bd-e4c92ed9463a-bdf7edb2-9790-4498
"USD146,000","Lurigancho, Lima",https://www.properati.com.pe/detalle/14032-32-e62f-c5cf97f222d2-b8bb6bfd-9fd2-4229
"USD1,050,000","Ur. Club Golf De Los Incas, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-9e8e-2f80fa3d92ee-b4272026-bafb-4a0e
"USD350,000","Ot Centro Historico de Piura, Piura",https://www.properati.com.pe/detalle/14032-32-984d-e059c74f011f-a7d3c43b-a6f9-365a
"USD450,000","Ur. Las Viñas (Las Viñas De La Molina Vieja), La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-e163-7fe5db3fa91-a76a66c0-b333-120d
"USD240,000","Ur. Los Girasoles (Los Girasoles De Huampani), Lurigancho, Lima",https://www.properati.com.pe/detalle/14032-32-c5c0-2291495b1126-a644ff16-8058-4d8d
"USD139,900","Ur. La Rinconada, Trujillo, La Libertad",https://www.properati.com.pe/detalle/14032-32-36e3-8f166d646dbb-a0a86653-9fbf-4715
"USD270,000","Horizonte de Zárate, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-124b-efa10eb4a321-9f63ff1c-9487-382f
"USD100,000","Ur. Carlos Stein 1, José Leonardo Ortiz, Chiclayo, Lambayeque",https://www.properati.com.pe/detalle/14032-32-4999-8cc2a5a55dac-9f24dc2d-93fb-486b
"USD230,000","Ur. Los Girasoles (Los Girasoles De Huampani), Lurigancho, Lima",https://www.properati.com.pe/detalle/14032-32-9762-be8b35cc96a3-9b655de8-b60c-4297
"USD265,000","Ur. La Luz, Lima",https://www.properati.com.pe/detalle/14032-32-9003-21c4ef61ad24-986a85a0-886d-4035
"USD150,000","Tarapoto, San Martín",https://www.properati.com.pe/detalle/14032-32-7943-d8e3c2aa10e1-97531092-a30e-4c19
"USD535,000","Ur. Los Granados, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-eaf1-857fe445f0d4-86e1c1e0-af4d-120d
"USD120,000","Ch. Antonia Moreno De Caceres Sector 2 (Ciudad Del Deporte), Ventanilla, Callao",https://www.properati.com.pe/detalle/14032-32-69f5-dd6f87a981e4-7ea569ae-9bb6-4e78
"USD150,000","Huanta, Ayacucho",https://www.properati.com.pe/detalle/14032-32-52e6-f650ba2befb6-7be92bb6-b39f-499c
"USD330,000","Ur. San Felipe, Jesús María, Lima",https://www.properati.com.pe/detalle/14032-32-1f00-20faa7e0817d-76ac0bba-87d0-49f2
"USD220,000","San Martín de Porres, Lima",https://www.properati.com.pe/detalle/14032-32-155c-6b3582cf793a-74b82410-a493-120e
"USD165,000","Cp. Chosica, Lurigancho, Lima",https://www.properati.com.pe/detalle/14032-32-2bd4-2ff74f9108d5-72e7e067-96e0-44ac
"USD74,000","Ur. Pedregal Bajo, Lurigancho, Lima",https://www.properati.com.pe/detalle/14032-32-b220-a8b83cae4a0c-685bb4fb-b734-4a8a
"USD65,000","San Andrés, Pisco, Ica",https://www.properati.com.pe/detalle/14032-32-7ad9-3ec277011f41-5b628542-90cf-4c2a
"USD449,000","La Victoria, Lima",https://www.properati.com.pe/detalle/14032-32-13d8-fb6d3a91b913-5b323010-980d-120e
"USD280,000","Ur. Corporacion El Agustino, El Agustino, Lima",https://www.properati.com.pe/detalle/14032-32-eade-11bbc7d466a1-58e5bbb0-8f5d-120d
"USD65,000","Ventanilla, Callao",https://www.properati.com.pe/detalle/14032-32-1b0-793a12f3f27f-5366abc0-8b15-120e
"USD1,290,000","Re. Monterrico Ampliacion, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-20f3-ea5c926c0ddb-4d062fb7-bba0-43c7
"USD479,999","Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-171c-78caf6beac5f-3bffc360-99a9-469a
"USD149,000","Ah. Tapada, Chaclacayo, Lima",https://www.properati.com.pe/detalle/14032-32-ce24-a6825c82bfcd-3b926336-b6d0-4164
"USD185,000","Pj. Señor De Los Milagros Zona Ii, Comas, Lima",https://www.properati.com.pe/detalle/14032-32-8077-79af8c59aa7c-35dbf480-8a50-3b45
"USD80,000","Cp. Viuda, Pachacamac, Lima",https://www.properati.com.pe/detalle/14032-32-5847-6c3a23371773-30fe83eb-86dc-4141
"USD2,508,800","Urb San Eduardo, Piura",https://www.properati.com.pe/detalle/14032-32-6b44-fe95acc3bb3c-30ebbf0e-abae-4328
"USD240,000","Ur. Los Girasoles (Los Girasoles De Huampani), Lurigancho, Lima",https://www.properati.com.pe/detalle/14032-32-ea1-3d99682ec1e9-2eecf8a8-8669-46a3
"USD520,000","Ur. La Encantada, Chorrillos, Lima",https://www.properati.com.pe/detalle/14032-32-f15f-a6d21257c943-246e9c6a-8ee6-43bf
"USD170,000","Lurigancho, Lima",https://www.properati.com.pe/detalle/14032-32-1185-c1dd2aa9b617-1e89401c-9c1a-42c4
"USD160,000","Ur. San Juan Sector D, San Juan de Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-85c-4b7bff065302-1b640f53-968c-4c02
"USD70,000","Carabayllo, Lima",https://www.properati.com.pe/detalle/14032-32-1973-c7f9f8c634de-17ad5f57-a090-44b4
"USD185,000","Ur. Santo Domingo Ii Etapa, Carabayllo, Lima",https://www.properati.com.pe/detalle/14032-32-f357-7cb682e448c5-16ef3d40-a4cc-4741
"USD1,100,000","Ur. Santa Constanza, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-13ac-5bbd55453ad7-15fc27c0-adaa-120e
"USD290,000","Ur. Villa Del Norte, Los Olivos, Lima",https://www.properati.com.pe/detalle/14032-32-fa5b-4d6d38f16180-2a86e96-ac24-4929
"USD110,000","Villa El Salvador, Lima",https://www.properati.com.pe/detalle/14032-32-ca2-e8abff8c65a-f95c49dc-bf36-48a8
"USD1,900,000","Ur. La Planicie, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-b626-be8e7462bcc8-f7cb1a4a-938f-4f99
"USD1,500,000","Ur. La Laguna, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-82aa-e1dac493ace-ee822123-860d-4bb6
"USD80,000","Ur. Santa Maria I Etapa, Carabayllo, Lima",https://www.properati.com.pe/detalle/14032-32-9f0d-6c586c51f1c6-ec9c7ca7-a149-4a8b
"USD380,000","Ur. Santa Leonor, Chorrillos, Lima",https://www.properati.com.pe/detalle/14032-32-fce1-27ad4f3a023e-e8a1e050-b167-4982
"USD315,000","Ur. Maranga Etapa Iii, San Miguel, Lima",https://www.properati.com.pe/detalle/14032-32-fb33-1b14802da0cb-e180e057-a46b-4909
"USD820,000","Ur. Orrantia Del Mar, San Isidro, Lima",https://www.properati.com.pe/detalle/14032-32-5444-24657c3056cc-cccca7ea-9256-433b
"USD350,000","Ur. Los Rosales Ampliacion Etapa Ii, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-f3b0-f960b36b12ec-c833c6d0-9856-120d
"USD465,000","Ur. Industrial Infantas I Sector I Etapa, Los Olivos, Lima",https://www.properati.com.pe/detalle/14032-32-7582-daaa39963939-b9a86000-9b47-437d
"USD600,000","Ur. San Luis, Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-1784-7828b61c62d-94b3bf37-a92c-4c5a
"USD215,000","Ur. San Juan Sector A, San Juan de Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-1a51-b96e5e875a58-92c919b8-9aae-4179
"USD450,000","Chorrillos, Lima",https://www.properati.com.pe/detalle/14032-32-ed05-489925fd51c2-90ef354a-8c87-46de
"USD165,000","Ur. Los Cerezos, La Perla, Callao",https://www.properati.com.pe/detalle/14032-32-ec30-da2034d4bff3-90ad7873-b37d-4372
"USD680,000","Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-dbf3-3afaf0a4d7d-89bb76c0-9117-120d
"USD335,000","Ur. Adepa, José Luis Bustamante y Rivero, Arequipa",https://www.properati.com.pe/detalle/14032-32-a4fc-300fa0b807ff-7b91b24a-a413-466e
"USD1,320,000","Ur. Country Club, San Isidro, Lima",https://www.properati.com.pe/detalle/14032-32-dab3-ab53dd75e9e9-74470fde-a5d4-4c5a
"USD159,000","Ur. Fortaleza Ii Etapa, San Juan de Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-1e95-d03120ab6b5e-4d9d257d-9ce8-40f0
"USD285,000","Los Órganos, Talara, Piura",https://www.properati.com.pe/detalle/14032-32-176a-cbc6e8ace748-4d2acf1e-a893-4bd9
"USD1,214,200","Ur. Chacarilla Santa Cruz Zona Santa Maria, San Isidro, Lima",https://www.properati.com.pe/detalle/14032-32-f263-18d29d1995a1-38260744-a979-4896
"USD1,680,000","Ur. Molina Vieja Etapa I, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-4511-c613eab91fcf-329dd5b8-ab9e-418a
"USD370,000","Victoria, Arequipa",https://www.properati.com.pe/detalle/14032-32-5329-8d16130fbfb8-1d532458-9aa1-4e25
"USD700,000","Urb Ingenieros Valle Hermoso, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-3f82-3164313d0420-9fa0133-9adf-3134
"USD450,000",,https://www.properati.com.pe/detalle/14032-32-1dae-bb3a16a7a0ef-9779c99-96ac-4da5
"S/.124,735","Mala, Cañete, Lima",https://www.properati.com.pe/detalle/14032-32-8c20-5e732bc668e5-8536d77-b0e8-4dda
USD365,"Ur. Cascajal, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-c633-bb99ada79fce-7988e10-b4b3-120d
"USD185,000","Vichay, Urb los Quenuales, Huaraz, Áncash",https://www.properati.com.pe/detalle/14032-32-f4f1-3796de8bb3d2-fa60b979-9ada-4c15
"USD260,000","Ur. Micaela Bastidas, Los Olivos, Lima",https://www.properati.com.pe/detalle/14032-32-b2e3-ea416789bb71-f56ce1a1-8cd0-4bd5
"USD450,000","Lotizacion Cieneguilla Etapa 3, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-64f7-4f5ee65d5848-f5131528-8fab-4510
"S/.240,000","Castilla, Piura",https://www.properati.com.pe/detalle/14032-32-beff-85226e62a13f-f4e4406f-bdea-440c
"USD163,280","Ur. San German, San Martín de Porres, Lima",https://www.properati.com.pe/detalle/14032-32-56c0-932e5b767132-f49890c1-8610-4ceb
"USD1,892,400","As. Pampa De Arena, San Juan de Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-de5c-2d50eba53b8d-e9224afc-9991-44af
"USD24,030","A.h Marginal Manuel Pacaya, Loreto",https://www.properati.com.pe/detalle/14032-32-78e6-a4366bbd91f7-e75e51c4-a72f-43f3
"USD250,000","Chiclayo, Lambayeque",https://www.properati.com.pe/detalle/14032-32-ec3-72456632454-e50ee220-819a-120e
"USD345,000","Ur. La Alborada, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-b6d1-c1d9c2d062a4-e2823bc2-9b8f-4f87
"USD420,000","Ur. Chacarilla Santa Cruz Zona Santa Isabel B, San Isidro, Lima",https://www.properati.com.pe/detalle/14032-32-ac85-6cbe0ef15dd4-de5ae09f-a3c7-44b9
"USD450,000","Retamas, Yanahuara, Arequipa",https://www.properati.com.pe/detalle/14032-32-dd90-f8bd59b6a186-dc3d5fb9-b3ea-4b13
"USD106,900","Urbanización Santo Domingo Etapa 11, Cerro Soledad, Provincia de Lima, Gobierno Regional de Lima",https://www.properati.com.pe/detalle/14032-32-7226-a8d71f19c047-daaec9cd-aa6f-407a
"USD180,000","Los Olivos, Lima",https://www.properati.com.pe/detalle/14032-32-b851-bc8b12d82870-d78c4695-9e0c-496b
"USD550,000","Ur. El Sol De La Molina Etapa Iii, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-d89c-4479d7f70408-d508e97d-b0e3-4483
"USD930,000","Urb Corpac, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-2e14-f1b6aa2983f7-d4a51314-ae37-4173
"USD89,500","Pimentel, Chiclayo, Lambayeque",https://www.properati.com.pe/detalle/14032-32-2067-2ca66eb2ac69-cda1405f-8c19-45d3
"USD540,000","Ur. Jacaranda, San Borja, Lima",https://www.properati.com.pe/detalle/14032-32-7efd-cfefa655064-cb367a81-927d-4924
"USD140,000","Castilla, Piura",https://www.properati.com.pe/detalle/14032-32-fa4-cf066fc676db-c91106c0-a614-120e
"USD200,000","San Martín de Porres, Lima",https://www.properati.com.pe/detalle/14032-32-bc89-fb92af152328-c7296b7e-bd8f-4baf
"USD42,300","San Juan Bautista, A.h las Colinas, Maynas, Loreto",https://www.properati.com.pe/detalle/14032-32-13f3-fce095b044f7-bb187e2a-b168-475b
"S/.365,000","Castilla, Piura",https://www.properati.com.pe/detalle/14032-32-fa5-a1d560ba3eb8-b656e8a0-b194-120e
"USD40,050","Apv Micaela Bastidas, Maynas, Loreto",https://www.properati.com.pe/detalle/14032-32-fee6-bc93e625f90b-b1b768f5-ac79-44b9
"USD1,400,000","Ur. Juan Pablo, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-705e-60d18a607d5c-af4cd403-9dee-4a1f
"USD190,000",Ica,https://www.properati.com.pe/detalle/14032-32-bd52-d6d86a4d0781-af2006c9-85b9-4f0d
"USD870,000","Rinconada Del Lago, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-c964-906e75776951-a0611988-b85f-4254
"S/.360,000","Castilla, Piura",https://www.properati.com.pe/detalle/14032-32-b050-e11606facf21-9e584454-aade-4a2c
"S/.120,000","Aucallama, Huaral, Lima",https://www.properati.com.pe/detalle/14032-32-d797-2552455132cc-9e27cd34-876c-3cf6
"S/.199,000","Reque, Chiclayo, Lambayeque",https://www.properati.com.pe/detalle/14032-32-f032-2bd02247f901-9a068da7-a056-4c87
"USD75,000","Ur. Tejada Alta, Barranco, Lima",https://www.properati.com.pe/detalle/14032-32-3990-762b39edbaf8-92f8e632-9027-468c
"USD450,000","Ur. Sucre, Pueblo Libre, Lima",https://www.properati.com.pe/detalle/14032-32-3cb7-537ff91b5895-8eaedb64-9fcf-4ac7
"USD1,145,000","Ur. Camino Real, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-10e0-9df47a8bb45-89a41080-8b63-120e
